Name                                                                                                                            Stmts   Miss  Cover
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/signals.py                                                   4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/tokens.py                                                   37     23    38%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/auth/validators.py                                               14      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/__init__.py                                          1      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/admin.py                                            50     28    44%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/apps.py                                             14      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/checks.py                                           22      4    82%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/fields.py                                          333    268    20%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/forms.py                                            39     29    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/management/__init__.py                              78     37    53%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/migrations/0001_initial.py                           5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/migrations/0002_remove_content_type_name.py         12      7    42%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/migrations/__init__.py                               0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/models.py                                          103     51    50%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/contenttypes/views.py                                            54     47    13%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/messages/__init__.py                                              3      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/messages/api.py                                                  34     20    41%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/messages/apps.py                                                  5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/messages/constants.py                                             7      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/messages/storage/__init__.py                                      4      1    75%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sessions/__init__.py                                              1      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sessions/apps.py                                                  5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sessions/base_session.py                                         28     11    61%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sessions/migrations/0001_initial.py                               5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sessions/migrations/__init__.py                                   0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sessions/models.py                                               10      2    80%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sites/__init__.py                                                 1      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sites/requests.py                                                 9      4    56%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/sites/shortcuts.py                                                7      5    29%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/staticfiles/__init__.py                                           1      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/staticfiles/apps.py                                              10      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/staticfiles/checks.py                                            10      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/staticfiles/finders.py                                          165     98    41%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/staticfiles/templatetags/__init__.py                              0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/staticfiles/templatetags/staticfiles.py                          11      4    64%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/contrib/staticfiles/utils.py                                             31     24    23%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/__init__.py                                                          0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/cache/__init__.py                                                   59     20    66%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/cache/backends/__init__.py                                           0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/cache/backends/base.py                                             120     69    42%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/cache/backends/db.py                                               148    126    15%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/cache/backends/locmem.py                                           100     74    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/cache/utils.py                                                       9      5    44%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/__init__.py                                                  11      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/caches.py                                                     8      1    88%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/database.py                                                   7      4    43%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/messages.py                                                  47     17    64%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/model_checks.py                                              64     43    33%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/registry.py                                                  51      4    92%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/security/__init__.py                                          0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/security/base.py                                             55     25    55%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/security/csrf.py                                             12      5    58%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/security/sessions.py                                         36     20    44%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/templates.py                                                 16      3    81%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/checks/urls.py                                                      54     14    74%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/exceptions.py                                                       89     47    47%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/__init__.py                                                    2      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/base.py                                                       99     70    29%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/images.py                                                     44     36    18%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/locks.py                                                      57     46    19%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/move.py                                                       42     35    17%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/storage.py                                                   184    118    36%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/temp.py                                                       33     26    21%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/uploadedfile.py                                               56     32    43%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/uploadhandler.py                                              71     39    45%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/files/utils.py                                                      37     17    54%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/handlers/__init__.py                                                 0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/handlers/base.py                                                    98     77    21%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/handlers/exception.py                                               61     46    25%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/handlers/wsgi.py                                                   134    100    25%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/mail/__init__.py                                                    32     22    31%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/mail/message.py                                                    254    192    24%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/mail/utils.py                                                        9      4    56%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/management/__init__.py                                             179     90    50%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/management/base.py                                                 220     81    63%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/management/color.py                                                 29      4    86%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/management/commands/check.py                                        29      8    72%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/management/commands/createcachetable.py                             67     45    33%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/management/commands/migrate.py                                     160     86    46%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/management/commands/test.py                                         29      4    86%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/management/sql.py                                                   23      8    65%
